銘柄コード,銘柄名,市場
3133,海帆,東G
4995,窪田製薬,東G
6574,Amazia,東G
5289,LiNKX,東G
4564,イノバセル,東G
3754,エクスモーション,東G
1447,SAAF,東G
5218,Birdman,東G
3865,Hmcomm,東G
3647,網屋,東G
7271,プロパティデータバンク,東G
4656,PRISM BioLab,東G
4493,サイバーセキュリティクラウド,東G
4594,ブライトパス・バイオ,東G
4843,イントランス,東G
4908,バルニバービ,東G
5077,coly,東G
3461,ファブリカ,東G
5216,tripla,東G
6577,ベストワンドットコム,東G
6639,CRG,東G
7041,アライドアーキテクチャ,東G
5461,名村造船所,東S
3817,アスリナ,東S
4804,クルーズ,東S
5471,アトム,東S
4251,ビートHLDG,東S
7174,アルファパーチェス,東S
2935,リミックスポイント,東S
5245,北紡,東S
6630,IC,東S
5172,インタースペース,東S
2477,翻訳センター,東S
3277,ホームポジション,東S
6933,シンデン・ハイテックス,東S
3374,ほぼ日,東S
5967,日本鋳造,東S
8996,楽待,東S
6371,ERI HLDG,東S
6814,ウエスコHLDG,東S
6124,エンシュウ,東S
6316,丸山製作所,東S
6146,不二電機工業,東S
6778,アルチザネットワークス,東S
5189,ニレコ,東S
8711,ヒロセ通商,東S
7289,GMB,東S
1429,南陽,東S
7480,スズデン,東S
6154,扶桑電通,東S
