銘柄コード,銘柄名,市場
2388,ウェッジＨＬＤＧ,東G
4935,リベルタ,東S
5253,カバー,東G
5129,ＦＩＸＥＲ,東G
7069,サイバー・バズ,東G
7776,セルシード,東G
2160,ジーエヌアイグループ,東G
3021,パシフィックネット,東S
7794,イーディーピー,東G
4475,ＨＥＮＮＧＥ,東G
7777,スリー・ディー・マ（スリー・ディー・マトリックス）,東G
8105,Ｂｉｔｃｏｉｎ Ｊ（Ｂｉｔ旧：堀田丸正）,東S
6573,ＣＲＡＤＩＡ,東G
4393,バンク・オブ・イノ（バンク・オブ・イノベーション）,東G
7746,岡本硝子,東S
247A,Ａｉロボティクス,東G
3930,はてな,東G
4165,プレイド,東G
4258,網屋,東G
3192,白鳩,東S
4288,アズジェント,東S
446A,ノースアンド,東G
362A,アクセルマーク,東G
460A,Ｂ（ＢＥＥＮＯＳ等 / 画面端のため推定含む）,東G
2597,ユニカフェ,東S
2962,テクニスコ,東S
2986,ＬＡ ＨＬＤＧ,東G
3277,サンセイランディック,東S
3544,サツドラＨＬＤＧ,東S
3698,ＣＲＩ・ミドルウェア,東S
3723,日本ファルコム,東G
3976,シャノン,東G
4120,スガイ化学工業,東S
4171,グローバルインフォ（グローバルインフォメーション）,東S
4599,ステムリム,東G
4664,アール・エス・シー,東S
5033,ヌーラボ,東G
5951,ダイニチ工業,東S
5997,協（協栄産業等 / 画面最下部）,東S
7196,Ｃａｓａ,東S
7425,初穂商事,東S
7460,ヤギ,東S
7462,ＣＡＰＩＴＡ,東S
7781,平山ＨＬＤＧ,東S
7957,フジコピアン,東S
9251,ＡＢ＆Ｃｏｍｐａｎｙ,東G
9450,ファイバーゲート,東S
9539,京葉瓦斯,東S
